name,zone,lower,upper
uztwm_DSBT2-1,DSBT2-1,25,82.75
uzfwm_DSBT2-1,DSBT2-1,38,82
lztwm_DSBT2-1,DSBT2-1,75,285
lzfpm_DSBT2-1,DSBT2-1,5.0,100
lzfsm_DSBT2-1,DSBT2-1,5,24
adimp_DSBT2-1,DSBT2-1,0,0.2
uzk_DSBT2-1,DSBT2-1,0.25,0.6
lzpk_DSBT2-1,DSBT2-1,0.0045,0.0155
lzsk_DSBT2-1,DSBT2-1,0.05525,0.50475
zperc_DSBT2-1,DSBT2-1,1,221.25
rexp_DSBT2-1,DSBT2-1,1.5625,3.8125
pctim_DSBT2-1,DSBT2-1,0,0.05
pfree_DSBT2-1,DSBT2-1,0.01,0.4625
riva_DSBT2-1,DSBT2-1,0,0.2
