name,zone,lower,upper
uztwm_GETT2-1,GETT2-1,12,82.75
uzfwm_GETT2-1,GETT2-1,38,120
lztwm_GETT2-1,GETT2-1,75,285
lzfpm_GETT2-1,GETT2-1,5.0,100
lzfsm_GETT2-1,GETT2-1,5,24
adimp_GETT2-1,GETT2-1,0,0.5
uzk_GETT2-1,GETT2-1,0.25,0.6
lzpk_GETT2-1,GETT2-1,0.0045,0.0355
lzsk_GETT2-1,GETT2-1,0.05525,0.50475
zperc_GETT2-1,GETT2-1,1,221.25
rexp_GETT2-1,GETT2-1,1.5625,3.8125
pctim_GETT2-1,GETT2-1,0,0.05
pfree_GETT2-1,GETT2-1,0.01,0.4625
riva_GETT2-1,GETT2-1,0,0.2
